1,63565,171304,611375.9,267719.1
2,68050,188066,611573.1,270370.6
3,85373,181731,615840.8,270463.6
4,88793,175845,616129.6,269380.6
5,92213,175676,617031,268932.1
6,95352,173378,618168.7,269179.3
7,103930,179937,619256.1,270811.4
8,106396,186889,619148.9,272277.3
9,95913,183861,617779.3,271283.3
10,80328,169454,615666.1,267613.9
11,87167,163287,616803.8,267259.4
12,98324,161381,619149.2,267040.6
13,93558,155999,618606.6,266495.9
14,66537,161381,613489.2,265708.2
15,54315,162109,610614.4,265839.5
16,51736,161437,609982.1,265259.7
17,47924,155887,610047.7,263651.6
18,27966,176966,607297.5,266653.4
19,30825,189972,606527.4,267904.8
20,66256,204829,609914.2,272770.7
21,55380,207351,608848.7,271832.1
22,33797,203707,606092,269471.4
23,21183,196307,604945.2,267516.3
24,15240,183357,602273.5,263186.6
25,23481,167660,605846.1,263862.8
26,15875,155793,606076.2,261426.5
27,23350,155943,606693.4,261776.9
28,32918,152056,608692.5,262560.9
29,13035,145627,606351.4,259382.9
30,11615,133668,605550.7,258507.1
31,19015,140096,607730.5,258860.2
32,27462,143833,608667.5,260725.9
33,43682,133668,611446.2,260222.4
34,45850,121782,611911.3,257366.2
35,40991,113186,611555.3,255830.5
36,34264,112364,611322.8,256539.5
37,34637,106907,609436.9,255256.4
38,34787,98610,611230.9,254550.2
39,12886,100479,606867.7,254085.2
40,21855,99732,609812.9,254090.9
41,43383,99806,612000.3,254558.8
42,34114,97115,610809,254266
43,45327,88145,612029,252388.7
44,33965,77382,611836.6,250881.6
45,37104,66543,612795.4,249193.8
46,43009,63852,613602,249236.8
47,31498,64600,612169.6,248938.3
48,27163,61610,611276.9,248410.1
49,33666,59890,612749.5,248094.3
50,20061,49799,611210.9,245723.3
51,48092,45464,615519.6,246303.1
52,56838,59666,616268.8,248849.3
53,67975,56153,617893.5,248846.4
54,58034,66468,616311.8,249744.9
55,60127,73868,616492.7,250944.8
56,49288,77531,614649.8,251042.4
57,59977,84333,616607.5,253792.4
58,76945,62581,619176.6,249506.6
59,74329,59666,619231.2,249233.9
60,75376,66169,619070.4,249828.1
61,85018,76559,620534.4,253281.4
62,89428,71925,620982.2,251714.1
63,83449,64076,621045.4,250161.1
64,83449,55106,621111.4,249007.2
65,69171,30365,619917.2,243679.4
66,67751,12799,620528.7,241360
67,84420,11902,623786.7,242565.6
68,98249,16087,624969.4,243179.9
69,94287,13995,624811.5,243013.5
70,99071,21245,624837.4,244282.2
71,109087,14966,626430.5,243223
72,109013,30963,625270.8,245479.3
73,97875,44866,623738,247919.2
74,94063,45912,623336.1,247996.7
75,97352,53537,623453.8,249302.8
76,99893,57125,623462.4,249925.7
77,110657,55405,625773.2,250253
78,102435,62880,623626,250428.1
79,109685,67066,624946.5,252388.7
80,104004,70579,624145.6,252767.6
81,112376,71103,625006.7,252862.3
82,98099,79101,622423.2,253315.9
83,95932,82838,621722.8,254076.6
84,97053,90313,622319.9,255382.7
85,102509,95845,622302.7,256568.2
86,107368,93976,622894,256602.7
87,113423,85454,624573.3,255394.2
88,85018,91659,619254.1,255023.9
89,65883,94873,617336.6,255440.1
90,45999,99732,612654.7,255738.6
91,49587,111392,612531.3,256967.2
92,68947,106982,615258.3,256169.2
93,61697,119764,614276.6,258824.5
94,51531,121708,613418.3,258666.6
95,50110,127538,612717.9,259743
96,67153,115877,615717.6,258551.8
97,58183,129930,613728.3,260165
98,66256,124698,614305.3,260144.9
99,64163,141142,613780,262573.4
100,72386,113411,616567.3,258267.6
101,81356,99657,619018.8,256568.2
102,86139,107431,619102,257865.7
103,89503,102796,619834,256918.4
104,91671,99208,621022.4,256585.4
105,104004,109598,622342.9,259323.9
106,106621,110869,622391.7,259662.7
107,107368,103245,623175.3,258959.4
108,115366,102273,624016.4,258459.9
